"budget_source_group_id","budget_source_group_th","type"
"0","สกอ-มหาวิทยาลัยวิจัยแห่งชาติ (NRU)      ","ภายนอก"
"1","เงินงบประมาณแผ่นดิน   ","ภายนอก"
"2","เงินกองทุนวิจัยมหาวิทยาลัย   ","ภายใน"
"3","เงินจากแหล่งทุนภายนอก ในประเทศไทย","ภายนอก"
"4","เงินจากแหล่งทุนภายนอก ต่างประเทศ","ภายนอก"
"5","เงินรายได้มหาวิทยาลัย","ภายใน"
"6","เงินรายได้คณะ (เงินรายได้)","ภายใน"
"7","เงินรายได้คณะ (กองทุนวิจัย)","ภายใน"
"8","เงินกองทุนวิจัยวิทยาเขต","ภายใน"
"9","เงินรายได้วิทยาเขต","ภายใน"
"10","เงินอุดหนุนโครงการการพัฒนาความปลอดภัยและความมั่นคง","ภายนอก"
"11","ไม่ระบุ",
