,budget_year,fund_type_group,fund_type_group_th,camp_name_thai,fac_name_thai,lu_percent,final_budget
0,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะเภสัชศาสตร์,100.0,1200000.0
1,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,20.0,206265.0
2,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,20.0,206265.0
3,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,100.0,16667.0
4,2554,,,วิทยาเขตหาดใหญ่,คณะวิทยาศาสตร์,20.0,19486.112
5,2554,,,วิทยาเขตหาดใหญ่,คณะวิทยาศาสตร์,100.0,255891.67
6,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,250000.0
7,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,170000.0
8,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,170000.0
9,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,170000.0
10,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,40.0,412530.0
11,2554,,,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,30.0,29229.167999999998
12,2554,,,วิทยาเขตหาดใหญ่,คณะวิทยาศาสตร์,20.0,19486.112
13,2554,,,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,356505.56
14,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,80.0,14404.520000000002
15,2554,,,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,20.0,19486.112
16,2554,,,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,10.0,9743.056
17,2554,,,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,191875.0
18,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,100.0,175000.0
19,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,100.0,48889.0
20,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,50.0,108000.0
21,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,20.0,3601.1300000000006
22,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะเศรษฐศาสตร์,20.0,206265.0
23,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,25.0,54000.0
24,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตปัตตานี,คณะวิทยาศาสตร์และเทคโนโลยี,100.0,283725.75
25,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะวิศวกรรมศาสตร์,50.0,275250.0
26,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,50.0,170000.0
27,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,50.0,170000.0
28,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตปัตตานี,คณะวิทยาศาสตร์และเทคโนโลยี,100.0,83333.33
29,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,40.0,798330.4360000001
30,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,50.0,45565.215
31,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,60.0,120000.0
32,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,100.0,383000.0
33,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,286000.0
34,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,20.0,59200.0
35,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะเภสัชศาสตร์,10.0,29600.0
36,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,100.0,346000.0
37,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,20.0,57200.0
38,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,40.0,144496.0
39,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตปัตตานี,คณะวิทยาศาสตร์และเทคโนโลยี,50.0,275250.0
40,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะพยาบาลศาสตร์,33.3333333333333,49999.99999999995
41,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะพยาบาลศาสตร์,33.3333333333333,49999.99999999995
42,2554,2,หน่วยงานภาคเอกชน ,วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,100.0,175000.0
43,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,5.0,99791.30450000001
44,2554,1,หน่วยงานภาครัฐ ,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,5.0,99791.30450000001
