,year,isi,scopus,tci
0,2544.0,129,192,125.0
1,2545.0,151,213,161.0
2,2546.0,153,245,185.0
3,2547.0,138,241,187.0
4,2548.0,210,319,297.0
5,2549.0,306,453,277.0
6,2550.0,321,550,374.0
7,2551.0,413,634,395.0
8,2552.0,446,606,413.0
9,2553.0,460,679,382.0
10,2554.0,502,805,417.0
11,2555.0,516,858,452.0
12,2556.0,550,968,450.0
13,2557.0,573,1088,520.0
14,2558.0,681,910,447.0
15,2559.0,749,999,564.0
16,2560.0,893,1156,617.0
17,2561.0,977,1275,684.0
18,2562.0,1045,1454,407.0
19,2563.0,1210,1454,69.0
20,2564.0,139,220,
