year,PSU,CMU,KKU,MU,CU,KU
2544,129,132,96,434,304,76
2545,151,195,115,478,378,99
2546,153,226,136,648,513,119
2547,138,270,131,660,555,137
2548,210,345,184,781,659,202
2549,306,420,223,936,904,225
2550,321,501,298,1051,962,250
2551,413,545,388,1221,1204,320
2552,446,695,442,1517,1328,348
2553,460,653,428,1513,1310,426
2554,502,743,506,1517,1382,488
2555,516,808,695,1761,1513,478
2556,550,826,743,1701,1521,534
2557,573,859,767,1739,1567,576
2558,681,1008,822,2038,1798,676
2559,749,1174,919,2396,2097,709
2560,892,1283,995,2582,2157,770
2561,977,1468,1143,2615,2427,835
2562,1043,1581,1087,2897,2599,1015
2563,1183,1862,1266,3074,2844,1046
2564,81,158,116,213,215,91
