year,PSU,CMU,CU,KKU,KU,MU
2544,192,182,432,130,96,542
2545,213,242,557,140,115,645
2546,245,291,633,167,170,701
2547,241,353,819,195,185,758
2548,319,466,958,249,272,2020
2549,453,564,1238,370,457,1086
2550,550,651,1177,380,463,1168
2551,634,738,1419,436,536,1239
2552,606,798,1479,479,585,1402
2553,679,895,1654,520,747,1546
2554,805,983,1716,627,891,1706
2555,858,1086,1819,933,877,1911
2556,968,1083,1924,918,957,1891
2557,1088,1242,2049,1081,1057,2047
2558,910,1328,2028,1023,1000,2082
2559,999,1548,2279,1122,1055,2436
2560,1156,1722,2386,1239,1235,2686
2561,1274,2075,2684,1471,1291,2966
2562,1454,2047,2996,1478,1469,3059
2563,1454,2327,3359,1602,1534,3633
2564,220,336,440,230,176,419
