year,PSU,CMU,CU,KKU,KU,MU
2544,125,139,464,106,127,443
2545,161,214,548,298,155,483
2546,185,252,625,295,185,507
2547,187,273,595,359,210,576
2548,297,415,761,535,323,833
2549,277,476,726,597,340,733
2550,374,457,786,732,393,718
2551,395,488,782,782,440,764
2552,413,496,921,790,595,865
2553,382,496,954,832,573,842
2554,417,478,1036,868,600,945
2555,452,537,1065,986,634,972
2556,450,492,946,869,698,916
2557,520,598,979,1142,758,1152
2558,447,576,1014,1072,906,1137
2559,564,632,1078,1073,995,1174
2560,617,704,1099,1168,1003,1367
2561,684,767,1101,1075,1050,1327
2562,407,566,833,572,712,672
2563,69,57,97,97,81,125
2564,0,0,0,0,0,0
