categories,count
CHEMISTRY,1255
FOOD SCIENCE TECHNOLOGY,1076
PHARMACOLOGY PHARMACY,837
ENGINEERING,790
MATERIALS SCIENCE,651
SCIENCE TECHNOLOGY OTHER TOPICS,525
POLYMER SCIENCE,515
CRYSTALLOGRAPHY,479
PLANT SCIENCES,478
BIOCHEMISTRY MOLECULAR BIOLOGY,465
BIOTECHNOLOGY APPLIED MICROBIOLOGY,442
ENVIRONMENTAL SCIENCES ECOLOGY,418
ONCOLOGY,361
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,359
AGRICULTURE,296
MARINE FRESHWATER BIOLOGY,286
INFECTIOUS DISEASES,276
MICROBIOLOGY,269
NUTRITION DIETETICS,259
PHYSICS,242
